SEQN,Gender,Age,Race,Month of Exam,Active Duty,Deployed,Birth Country,Citizenship,TimeUS,EduKids,EduAdult,Marital Status,Language,NumbHH,HH Gender,HH Age,HH Edu,HH Marital,HH Sp Edu,Int Weight,MEC Weight,AHH Income,FAM Income
93703,2,2,6,2,0,0,1,1,0,0,0,0,1,5,1,2,3,1,3,9246.491865,8539.731348,15,15
93704,1,2,3,1,0,0,1,1,0,0,0,0,1,4,1,2,3,1,2,37338.76834,42566.61475,15,15
93705,2,66,4,2,2,0,1,1,0,0,2,3,1,1,2,4,1,2,0,8614.571172,8338.419786,3,3
93706,1,18,6,2,2,0,1,1,0,15,0,0,1,5,1,4,3,1,2,8548.632619,8723.439814,0,0
93707,1,13,7,2,0,0,1,1,0,6,0,0,1,7,1,3,2,1,3,6769.344567,7064.60973,10,10
93708,2,66,6,2,2,0,2,1,7,0,1,1,1,2,1,4,1,1,1,13329.45059,14372.48876,6,6
93709,2,75,4,1,2,0,1,1,0,0,4,2,1,1,2,4,2,2,0,12043.38827,12277.55666,2,2
93710,2,0,3,2,0,0,1,1,0,0,0,0,1,3,1,2,3,1,3,16418.29842,16848.02012,15,15
93711,1,56,6,2,2,0,2,1,6,0,5,1,1,3,1,3,3,1,3,11178.26011,12390.91972,15,15
93712,1,18,1,2,2,0,2,2,5,12,0,0,1,4,2,3,1,2,0,29040.49656,30336.65432,4,4
93713,1,67,3,1,1,1,1,1,0,0,3,3,1,1,1,4,2,2,0,174806.5752,166841.6607,6,6
93714,2,54,4,2,2,0,1,1,0,0,4,1,1,3,1,3,2,1,2,15209.43864,15479.5812,7,7
93715,1,71,7,2,2,0,1,1,0,0,3,1,1,5,1,4,2,1,2,9402.255687,9250.904672,8,8
93716,1,61,6,1,2,0,2,1,7,0,5,1,1,3,1,4,3,1,3,11247.54342,11581.23354,15,15
93717,1,22,3,2,1,2,1,1,0,0,3,5,1,2,1,2,0,3,0,53249.36797,60117.93607,0,4
93718,1,45,4,1,2,0,1,1,0,0,3,5,1,7,2,3,2,2,0,20257.01146,19647.25054,10,10
93719,2,13,3,2,0,0,1,1,0,6,0,0,1,3,2,2,2,2,0,67836.64998,69916.126,14,14
93720,2,1,4,1,0,0,1,1,0,0,0,0,1,3,2,2,2,1,0,8985.688512,9983.09634,14,14
93721,2,60,1,1,2,0,2,1,8,0,1,1,2,2,2,4,1,1,0,8224.936565,8589.051335,8,8
93722,2,60,3,1,2,0,2,1,5,0,4,3,1,1,2,4,2,2,0,132077.5762,126309.8233,6,6
93723,1,64,3,1,2,0,1,1,0,0,5,1,1,2,1,4,3,1,3,230745.7168,229129.2369,9,9
93724,2,5,4,1,0,0,1,1,0,0,0,0,1,7,2,4,1,1,2,11426.38036,12195.68266,4,4
93725,2,9,3,1,0,0,1,1,0,2,0,0,1,4,1,3,3,1,3,125854.5201,139773.9754,15,15
93726,2,67,1,1,2,0,2,1,8,0,1,2,2,1,2,4,1,2,0,5239.61127,5435.070518,5,5
93727,1,70,6,2,2,0,2,1,8,0,5,1,1,2,1,4,3,1,3,19991.60922,22181.21286,15,15
93728,1,53,4,1,2,0,1,1,0,0,5,1,1,2,1,3,3,1,3,32014.31798,31532.90451,15,15
93729,1,42,4,1,2,0,1,1,0,0,2,5,1,2,2,2,2,1,0,11759.6246,12103.88335,6,3
93730,1,57,2,2,2,0,2,1,9,0,2,2,2,1,1,3,1,2,0,27340.92515,28532.93808,77,77
